Education,Age,Genre,Origine,Domestication,VaccinationDesAnimaux,MorsureDeChien,Deces,PropagationParLesChiens,Transmission,VaccinationPreventive,Campagne,VaccinationPersonnelle,ConnaissanceAvantLaVaccination,ConnaissanceApresLaVaccination,Signes,Enrage,Medecin,FamilierAtteint,Installations,VaccinationAbordable,PreferencePourLaVaccination,ID_Repondant
F,1,1,2,2,2,1,1,1,2,1,2,2,1,1,2,2,1,1,2,1,1,Respondent1
F,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,Respondent2
F,1,2,2,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,Respondent3
F,1,2,2,2,2,1,2,2,1,1,2,2,2,1,1,1,2,2,2,2,1,Respondent4
F,1,2,2,2,2,1,1,2,1,1,2,2,2,1,1,1,2,2,2,2,1,Respondent5
F,1,2,2,2,2,1,1,1,2,1,2,2,2,1,2,1,2,1,2,2,1,Respondent6
F,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,Respondent7
F,1,2,1,2,2,1,1,1,2,1,2,2,1,2,1,1,2,2,2,1,1,Respondent8
F,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2,2,2,1,Respondent9
F,1,2,1,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,2,1,Respondent10
F,1,2,2,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2,2,2,1,Respondent11
F,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,Respondent12
F,1,2,2,1,2,1,1,1,2,1,2,2,2,1,1,1,2,2,1,2,2,Respondent13
F,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,Respondent14
F,1,2,1,2,2,1,1,1,2,1,2,2,2,1,2,1,2,2,2,2,1,Respondent15
F,1,2,1,2,2,1,1,2,2,1,2,2,2,1,2,1,2,2,2,1,1,Respondent16
F,1,2,1,1,2,1,1,1,2,1,2,2,2,2,1,1,2,2,2,2,1,Respondent17
F,1,2,2,2,2,1,1,2,2,1,2,2,2,1,2,1,2,2,2,2,1,Respondent18
F,1,2,2,1,2,1,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,Respondent19
F,1,2,2,2,2,1,2,2,2,1,2,2,2,1,1,1,2,2,2,2,1,Respondent20
F,1,2,2,2,2,1,2,1,2,1,2,2,2,1,2,1,2,2,2,2,1,Respondent21
F,1,2,1,1,2,1,2,1,2,1,1,2,2,1,1,1,2,2,2,2,1,Respondent22
F,1,2,2,2,2,1,2,1,2,2,1,1,1,2,2,2,1,1,2,2,1,Respondent23
F,1,2,2,1,2,1,2,1,2,1,1,2,2,1,1,1,2,2,2,2,1,Respondent24
F,1,2,2,2,2,1,2,1,2,1,2,2,2,1,1,1,2,2,2,2,1,Respondent25
F,1,2,2,2,2,1,2,1,2,1,2,2,2,1,1,1,1,2,2,2,1,Respondent26
F,1,2,2,1,2,1,1,2,2,1,2,2,2,1,1,1,2,2,2,2,2,Respondent27
F,1,2,1,1,2,1,1,2,2,1,2,2,2,1,1,1,2,1,2,2,1,Respondent28
F,1,2,2,1,2,1,1,1,2,1,2,2,2,2,2,1,1,2,2,2,1,Respondent29
F,1,2,2,2,2,1,1,1,2,1,2,2,2,2,1,1,2,2,2,2,1,Respondent30
F,1,2,2,1,2,1,1,2,2,1,2,2,2,1,1,1,2,2,2,2,1,Respondent31
F,1,2,2,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2,2,2,1,Respondent32
F,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,1,Respondent33
F,1,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,Respondent34
F,1,2,2,1,2,1,1,1,2,1,2,2,2,2,1,1,2,1,1,1,2,Respondent35
F,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2,2,2,1,Respondent36
F,1,2,2,2,2,1,2,1,2,1,2,2,2,1,2,1,2,2,2,2,1,Respondent37
F,1,2,2,2,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,1,Respondent38
F,1,2,2,2,2,1,2,1,2,1,2,2,2,1,2,1,2,2,2,2,1,Respondent39
F,1,2,2,2,2,1,1,2,1,1,2,2,2,1,1,1,1,1,2,2,1,Respondent40
F,1,2,2,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2,2,2,1,Respondent41
F,1,2,2,2,2,1,1,1,1,1,2,2,2,1,1,2,2,2,2,1,1,Respondent42
F,1,2,2,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2,2,2,1,Respondent43
F,1,2,2,2,2,1,1,1,2,2,2,2,1,2,1,2,2,2,2,1,1,Respondent44
F,1,2,2,1,2,1,1,1,2,1,2,2,2,1,1,1,2,2,2,2,1,Respondent45
F,1,2,2,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2,2,2,1,Respondent46
F,1,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,Respondent47
F,1,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,Respondent48
F,1,2,2,2,2,1,1,1,2,1,2,2,2,1,2,1,2,2,2,2,1,Respondent49
F,1,2,2,2,2,1,1,1,2,1,2,2,1,1,1,1,1,2,2,2,1,Respondent50
F,1,2,1,2,2,1,2,1,2,1,2,2,2,1,2,1,2,2,2,2,1,Respondent51
F,1,2,2,2,2,1,2,1,2,1,2,2,2,1,1,1,2,2,2,2,1,Respondent52
F,1,2,2,2,2,1,2,1,2,1,2,2,2,1,1,1,2,2,2,2,1,Respondent53
F,1,2,2,2,2,1,2,1,2,1,2,2,1,1,1,1,2,1,2,2,1,Respondent54
F,1,2,2,2,2,1,2,1,2,1,2,2,1,1,2,1,2,2,1,1,2,Respondent55
F,1,2,1,2,2,1,2,1,2,1,2,2,2,1,1,1,2,2,2,1,2,Respondent56
F,1,2,2,2,2,1,2,1,2,1,2,2,2,1,2,1,2,1,1,2,2,Respondent57
F,1,2,2,2,2,1,2,1,2,1,2,2,2,1,2,1,2,1,1,2,2,Respondent58
F,1,2,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,1,2,2,Respondent59
F,1,2,1,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,Respondent60
F,1,2,2,1,2,1,2,1,2,1,2,2,2,1,1,1,2,2,1,2,1,Respondent61
F,1,2,1,2,2,1,2,1,2,1,2,2,2,1,2,1,2,2,2,1,1,Respondent62
F,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,1,2,2,1,1,2,Respondent63
F,1,2,2,2,2,1,2,1,2,1,2,2,2,1,2,1,2,1,1,1,1,Respondent64
F,1,2,2,1,2,1,2,1,2,1,2,2,2,1,1,1,2,1,1,1,1,Respondent65
F,1,2,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,1,1,1,Respondent66
F,1,2,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,1,1,1,Respondent67
F,1,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,Respondent68
F,1,2,2,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,Respondent69
F,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,1,2,1,2,2,1,Respondent70
F,1,2,1,2,2,1,1,1,2,1,2,2,2,1,2,1,2,2,2,2,1,Respondent71
F,1,2,2,2,2,1,1,1,1,1,2,2,2,1,2,1,2,1,1,2,1,Respondent72
F,1,2,2,2,2,1,1,1,1,1,2,2,2,1,2,1,2,1,2,1,1,Respondent73
F,1,2,2,1,2,1,1,1,1,1,2,2,2,1,2,1,2,1,1,1,1,Respondent74
F,1,2,2,1,2,1,1,1,2,1,2,2,2,1,2,1,2,1,1,1,1,Respondent75
F,1,2,1,2,2,1,2,1,2,1,2,2,2,1,2,1,2,1,1,2,1,Respondent76
F,1,2,1,2,2,1,1,1,2,1,2,2,2,1,2,1,2,1,1,1,1,Respondent77
F,1,2,1,1,2,1,1,1,2,1,2,2,1,1,1,1,2,2,2,1,1,Respondent78
F,1,2,1,1,2,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,2,Respondent79
F,1,2,2,2,2,1,1,1,2,1,2,2,1,1,1,2,1,2,1,2,1,Respondent80
F,1,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,1,Respondent81
F,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,1,2,2,2,1,1,Respondent82
F,1,2,2,2,2,1,1,1,2,1,2,2,1,1,1,1,2,1,2,1,1,Respondent83
F,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,Respondent84
F,1,2,2,2,2,1,1,1,2,1,2,2,1,1,2,2,2,2,1,2,1,Respondent85
F,1,2,1,1,2,1,1,1,2,1,2,2,1,1,1,1,2,1,2,1,2,Respondent86
